Strain,Experiment,%wGFPpucta.per.GFPpositive,%wGFPpuncta.per.cell,Condition
YDJ6615,20200706_Trial3/20200706_midtolatelog_SD-URA-LEU,0.01911,0.01099,pre-induction
YDJ6616,20200706_Trial3/20200706_midtolatelog_SD-URA-LEU,0.09091,0.0156,pre-induction
YDJ6617,20200706_Trial3/20200706_midtolatelog_SD-URA-LEU,0.21591,0.05278,pre-induction
YDJ6618,20200706_Trial3/20200706_midtolatelog_SD-URA-LEU,0.10092,0.02736,pre-induction
YDJ5500,20200706_Trial3/20200707_earlymidlog_20hr_SGAL-URA-LEU,0.54198,0.5,induction
YDJ5501,20200706_Trial3/20200707_earlymidlog_20hr_SGAL-URA-LEU,0.56364,0.33333,induction
YDJ5502,20200706_Trial3/20200707_earlymidlog_20hr_SGAL-URA-LEU,0.45349,0.26174,induction
YDJ5519,20200706_Trial3/20200707_earlymidlog_20hr_SGAL-URA-LEU,0.57143,0.35669,induction
YDJ5520,20200706_Trial3/20200707_earlymidlog_20hr_SGAL-URA-LEU,0.48819,0.22302,induction
YDJ5530,20200706_Trial3/20200707_earlymidlog_20hr_SGAL-URA-LEU,0.25,0.14286,induction
YDJ5531,20200706_Trial3/20200707_earlymidlog_20hr_SGAL-URA-LEU,0.21687,0.1,induction
YDJ6615,20200706_Trial3/20200707_earlymidlog_20hr_SGAL-URA-LEU,0.13592,0.05109,induction
YDJ6616,20200706_Trial3/20200707_earlymidlog_20hr_SGAL-URA-LEU,0.07006,0.03833,induction
YDJ6617,20200706_Trial3/20200707_earlymidlog_20hr_SGAL-URA-LEU,0.22314,0.10305,induction
YDJ6618,20200706_Trial3/20200707_earlymidlog_20hr_SGAL-URA-LEU,0.16216,0.06316,induction
YDJ6619,20200706_Trial3/20200707_earlymidlog_20hr_SGAL-URA-LEU,0.06977,0.015,induction
YDJ5500,20200706_Trial3/20200708_24hr_midlog_outgrowth_SD-URA-LEU,0.38272,0.22963,outgrowth
YDJ5501,20200706_Trial3/20200708_24hr_midlog_outgrowth_SD-URA-LEU,0.10236,0.05078,outgrowth
YDJ5502,20200706_Trial3/20200708_24hr_midlog_outgrowth_SD-URA-LEU,0.12857,0.07692,outgrowth
YDJ5519,20200706_Trial3/20200708_24hr_midlog_outgrowth_SD-URA-LEU,0.23585,0.16556,outgrowth
