Uniprot ID,Gene Name,log abs.LFQ AgWTD06 Corrected,log abs.LFQ AgWTD17 Corrected,
O45622;E9P8A2,erfa-3,6.059011797,6.451714802,
O45722;Q6BEV8,,5.139381797,5.529332885,
O45783,,4.074097347,5.251253819,
O45812,,5.956144732,6.383318653,
O45819,gyg-2,5.743373217,5.947767328,
O45904,lec-1,6.592180504,7.500008367,
O45934;Q86DA0,,5.017098584,5.330087471,
O45935,klp-19,4.864765155,5.687700283,
O45941,Y45F10C.2,7.525325318,8.344049393,
O45944,Y45F10C.4,5.599009974,6.863341602,
O61219,,4.291699838,5.085926375,
O61522,,5.069834452,6.428955275,
O61790,,4.306504187,5.491314129,
O61791,mrps-6,4.509265441,5.383703008,
O61792,rpn-8,5.538401283,6.423881568,
O61820,eif-3.E,5.147543653,5.779364868,
O61845,chd-7,3.372907995,3.457958053,
O61861,arx-7,5.105146493,5.75801554,
O61862,,4.135752129,5.837718044,
Q86S28;Q76NP4;O61907;Q86S27,lin-40,5.413570935,6.014933345,
O61931,ergo-1,5.081670722,5.12535604,
O61955-2;O61955-3;O61955,ife-3,5.03918592,6.606642572,
O62053,C08F11.11,5.789831322,7.595631606,
O62105;Q9U3L5,,5.218279457,5.937378408,
O62220,F33H2.3,4.546636724,6.643316993,
O62246,F45G2.4,5.081792124,5.731921969,
O62289,ttr-51,6.303065938,7.31550123,
O62317,,4.517139513,4.532305507,
O62327,gpx-2,5.45052546,6.813965672,
O62332;O62333,imb-2,5.156305405,5.203073943,
O62366,,5.649146061,5.985364911,
O62390,,7.196060603,7.329155041,
O62415,lys-1,6.264714589,6.583815198,
O62431;D3YT95;D3YT96,ers-1;qars-1,6.085298093,6.498894225,
O62432,dpy-4,5.731268394,6.37199355,
O62512,,4.821202924,4.927261119,
O62515,ZK550.6,5.723231776,5.961693411,
O76371,rpt-5,6.658671966,6.70783119,
O76384,mms-19,4.94205827,5.456382422,
O76447,hcp-1,5.349543597,5.956690232,
O76561,,3.794873985,4.620748951,
O76577,rpn-11,5.209443414,5.401394453,
Q965I6;O76618;Q4W4Y8,cars-1,5.292098914,5.917842077,
O76836,,5.129308152,5.479546971,
P02513,hsp-16.48,5.501661633,5.833413456,
P04255;Q27894;Q22979,his-11;his-4;his-39,6.73705658,7.364801809,
P05690,vit-2,7.182059576,7.942569833,
P06125,vit-5,7.478049722,8.273565578,
P09446,hsp-1,7.237144996,7.728511553,
P10299,gst-1,4.392772085,6.230787989,
P11141,hsp-6,6.569163124,6.978422364,
P17139-2;P17139,emb-9,4.651631637,5.080163078,
P17140;P17140-2,let-2,6.63108001,7.193867723,
P17331,gpd-4,6.467533165,6.539169902,
P17343,gpb-1,5.40299194,5.962859323,
P18334,kin-3,5.613206774,5.844133994,
P18947,vit-4,6.499764811,7.073302799,
P18948-2;P18948;P18948-3,vit-6,7.517057836,8.104476052,
P20163,hsp-4,5.887216579,6.743208344,
P27420,hsp-3,6.447128002,6.886521042,
P27604,ahcy-1,7.41192806,7.693830073,
P27639;P27639-2,inf-1,6.925996199,7.209555762,
P27798,crt-1,5.838971502,6.308966471,
P29691;G3MU53,eef-2,7.432977694,7.706841285,
P30632,asna-1,5.786290263,6.122701444,
P31161,sod-2,4.570786902,6.069393255,
P32744,cls-2,4.557183577,5.282421537,
P34183-2;P34183,hrs-1,3.82079723,5.169547185,
P34260,vps-33.1,3.875892235,5.184210227,
P34274,,4.489972657,5.482136113,
P34286,pbs-6,5.352048186,6.207090041,
P34308;P34308-4,clp-1,5.670535409,6.505826714,
P34331-2;P34331,plk-1,4.869012568,5.733138773,
P34334,rpl-21,7.125080521,7.287930341,
P34339,egl-45,6.005799654,6.064705207,
P34343,npp-15,4.737481453,5.573302898,
P34346,let-754,4.259290513,4.9560075,
P34382;G1K0V6,far-1,5.395433211,6.103336679,
P34388,mrps-9,5.825786646,6.031602122,
P34429,F44B9.8,6.02936826,6.422076601,
P34441;G5EF06,emb-30,5.348461072,5.764937539,
P34453,prx-19,5.113670347,6.133345953,
P34455;P34455-3;P34455-2,aco-2,6.66401995,6.831568071,
P34471;G3MTW9;Q9TZ34,pri-1,5.600985409,5.787021109,
P34476,rpac-19,4.858044277,5.763371935,
P34477,ubc-7,4.807610806,6.03034714,
P34496,mtss-1,4.58870618,4.934153158,
Q7JMS9;P34499,ttr-3,4.771953934,5.383703008,
P34500,ttr-2,6.062980503,7.014105047,
P34512,grp-1,4.709334105,5.06502542,
P34514,apc-2,4.758024439,4.798416637,
P34519;Q9BKQ2,K11H3.3,3.696473033,4.664540072,
P34529,dcr-1,3.465623039,5.086894932,
P34542,R05D3.9/R05D3.10,4.518185104,5.020484997,
P34546,vha-2,6.903256186,7.060029609,
P34556,cdk-1,6.098500871,6.775563458,
P34560,rmd-1,5.896241856,6.50350039,
P34574,chc-1,6.58795625,6.632744416,
P34580,T26G10.1,4.223025732,4.330490902,
P34607,mut-7,4.829925235,5.060861436,
P34617,ZK1236.1,5.036656846,5.52732663,
P34647;P34647-2,mcm-6,6.41845328,6.851551245,
P34650,ZK632.4,5.600881341,5.770705327,
P34661,tag-277,5.254070044,5.767791346,
P34662,rpl-35,6.364337834,6.451151302,
P34676-2;P34676,pcp-5,4.078441148,4.096798358,
P34685,cap-1,3.627253854,5.357488967,
P34690,tba-2,6.953135281,7.127628461,
P34696,hsp-16.1,5.786050498,6.327627754,
P34703,emb-5,5.552096325,6.149114579,
P34815-2;P34815;P34815-3,unc-18,5.101701144,5.826915065,
P36573,lec-1,5.767346322,6.586369575,
P41842,T20B12.1,5.078991262,5.673206753,
P41847,T20B12.7,4.629873278,5.99598727,
P41877,isw-1,5.553156824,5.790056975,
P41932,par-5,6.404524592,7.758502067,
P41988,cct-1,6.158599893,6.618900751,
P42000,B0280.9,4.567460524,4.632202777,
P42168,kin-19,6.287676185,6.688544367,
P42170,rnr-2,5.476747977,5.695265404,
Q8MQC6;P43510,cpr-6,5.493781316,5.745158727,
P45968,T09A5.8,4.353284257,4.825012,
P45969,T09A5.9,5.882600615,6.082727893,
P45970,lin-5,5.38308504,5.631815477,
P45971,T09A5.11,5.047080592,5.096107153,
P46550,cct-6,6.033412465,6.913131871,
P46561,atp-2,6.802753175,6.80285061,
P46577,gop-2,5.259505557,5.419076847,
P46769,rps-0,6.480794971,7.858108193,
P46822;P46822-3;P46822-2;P46822-4,klc-2,5.636669389,5.687291266,
P47207,cct-2,6.182557151,6.305596152,
P47208,cct-4,5.754814878,6.241617491,
P47209;Q8WQG4,cct-5,5.986306045,6.56881071,
P47991,rpl-6,6.484548578,6.852251532,
P48150,rps-14,6.729933178,7.079704662,
P48152,rps-3,6.489727572,7.029349225,
P48154,rps-1,7.178851819,7.517295183,
P48156,rps-8,6.867391509,6.969262802,
P48158,rpl-23,6.089293286,7.019610118,
P48727,gsp-2,5.3037946,5.670790664,
P49029,mag-1,4.510639242,6.647836633,
P49041,rps-5,6.490493991,6.811769397,
P49180,rpl-33,6.386388288,6.736537543,
P49196,rps-12,5.950679784,6.750910742,
P49197,rps-21,6.176889727,6.822691295,
P49405,rpl-5,7.354246821,7.592571812,
P49594,fem-2,5.605170282,6.256361048,
Q8MNS3;P49595,F42G9.1,5.884930647,6.085097579,
P49632;P0CG71,ubq-2;ubq-1,6.502591592,7.105935096,
P50093,phb-2,5.298582149,6.037384829,
P50306;Q86NI3;Q8I7M9;Q95QX7,sams-4,5.559439061,5.851616653,
P50432-2;P50432,mel-32,6.312694216,6.476344113,
P50444,R74.6,4.049702359,5.375978445,
P51403,rps-2,6.15176585,6.917312312,
P51404,rps-13,6.73038325,7.173616993,
P51875,goa-1,5.637587435,6.271545188,
P52009,cyn-1,5.307684335,6.290862701,
P52011,cyn-3,4.65028409,6.852848219,
P52015,cyn-7,5.551465641,6.93832067,
P52018,cyn-11,4.492274437,5.714403416,
P52275,tbb-2,6.799083657,7.256029792,
P52554,pfd-6,4.876606695,5.945153758,
P52652,T24H10.1,5.531869452,5.870386881,
Q86D21;P52709,tars-1;trs-1,5.793736626,6.755388165,
P52717,F41C3.5,4.957574353,5.941355681,
P52819,rpl-22,7.134123175,7.885320963,
P52821,rps-25,6.128164195,6.794597986,
P53013;Q86NF3;Q86NF4,eft-3,7.863362372,8.281832099,
P53016,rfc-4,5.437076831,5.988846097,
P53585,D1005.1,5.590528336,5.846872477,
P53589,C50F7.4,5.850218939,6.158350476,
P53596,C05G5.4,5.911897644,6.025785175,
P54412;Q8I4K9;Q2PJ76,F17C11.9;eef-1g,6.737494864,7.191225555,
P54811,cdc-48.1,6.401289087,7.111352991,
P54812,cdc-48.2,5.882728612,6.336314242,
P55155,vit-1,5.86699359,6.552172118,
P55954,cco-2,4.593832634,6.166544265,
P55955,ttr-16,5.059331483,6.368256199,
P61866;P61866-2,rpl-12,6.671462721,7.102996378,
P62784,his-1,6.696015899,7.259513701,
P90731,acly-2,6.003019348,6.344980421,
P90829,F10C2.4,4.733822902,4.782410709,
P90841,smgl-1,4.246673707,5.766985994,
P90868,pbs-7,4.677329524,5.636747017,
P90916,lin-53,6.099842037,7.34009286,
P90917,rba-1,5.050268329,5.367060265,
Q8MXS2;P90978-3;P90978;P90978-2,uaf-1,5.178301382,5.829636192,
P90994,djr-1.1,4.893940706,5.304247257,
P91001,csn-5,5.636680665,6.049838527,
P91011,,5.311599136,5.637894791,
P91020,,6.752532399,7.308444639,
Q5R3Y5;P91079,sptl-1,5.097643467,5.25573513,
P91128;P91128-2,rpl-13,6.490935844,6.683867725,
P91134;P91134-2,C37H5.6,5.630982909,6.163538661,
P91155,cdc-6,3.689110505,4.931922308,
P91243,dnj-9,4.325058431,4.533764799,
P91253;P91254,gst-7,4.745625253,5.554696877,
P91276,ima-2,6.091811287,6.6544482,
P91303,vha-10,5.311348784,5.834940454,
P91349,spd-5,5.615213606,6.091845319,
P91374,rpl-15,6.537785779,6.758756697,
P91400,klp-15,4.81188774,5.109324031,
P91401,,4.674610153,5.899273212,
P91427,pgk-1,6.176938481,6.639115749,
P91455,T19B4.3,5.093665648,5.581297945,
P91495,npp-12,3.886519376,4.548451147,
P91502,usp-5,6.265152499,6.753120059,
P91859;Q7YXB8;Q7YXB9,,4.670170192,5.238408404,
P91910,mec-12,5.583263528,6.052064427,
P91914,rpl-27,6.475197069,7.566529057,
P91917;E2JL06,tag-210,7.007843284,7.419000955,
P91918,snr-2,5.152746296,5.94187211,
P91997,,5.354862175,6.653903519,
P91998,,4.784528904,6.152758754,
P92199,let-502,5.442418184,5.711923085,
Q02335,ZK370.8,5.796398856,5.823648968,
Q03560;C0P269,B0464.2,4.5063982,4.688544367,
Q03565,baf-1,6.836807563,7.460793651,
Q03577,drs-1,6.14513739,6.778923265,
Q03604,rnr-1,6.31583318,6.865735914,
Q04908,rpn-3,5.361563524,5.640196482,
Q05036,C30C11.4,5.187105113,6.106273103,
Q06561;Q06561-2;Q06561-4;Q06561-5;G5EEI5;Q06561-3;G1K109,unc-52,7.230358339,7.402998618,
Q067X2,,6.691681246,7.836171753,
Q07750;Q07750-1,unc-60,5.396189146,6.773510422,
Q09236,C13B9.3,5.405514563,5.579937776,
Q09261,mrps-31,4.973802164,5.277508297,
Q09289,C56G2.7,5.68305733,5.713993148,
Q09293,mel-47,6.012305702,6.474544594,
Q09312;Q9N5M6,fbf-2;fbf-1,4.318551023,4.321337623,
Q09377,ZK673.3,4.77847001,5.806006554,
Q09422,pgam-5,5.984132926,6.784029377,
Q09475,C28H8.3,5.635755049,5.831851735,
Q09482,,5.21706622,5.301603143,
Q09486,,5.26366446,5.520791581,
Q09489,,5.029185611,6.064556457,
Q09508,sdha-1,5.924284149,6.028666098,
Q09512,ttll-12,5.73563134,5.9276299,
Q09525,pme-2,3.921776466,5.238485087,
Q09535,pch-2,5.27955378,5.7352081,
Q09543,paa-1,6.437032191,6.859917737,
Q09545,sdhb-1,4.552944931,5.514055071,
Q09567,,4.406550174,4.909426368,
Q09580;Q7JMN1;Q0G842,M106.4,4.829961365,4.843734573,
Q09590,emb-8,4.931921496,5.604304108,
